drugtest,age,educate,fulltime,gender,race,married,income,south,sales,construc,othwork,mjuser
preemployment & random testing program,33,16,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,27,16,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,37,13,yes,male,white,not married,medium or high,yes,yes,no,construction or sales,yes
no testing program,36,17,no,male,non-white,not married,low,yes,no,no,other occupation,no
preemployment testing program,36,14,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,34,12,no,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,53,12,no,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,30,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,37,15,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,43,16,yes,female,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,30,8,no,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,23,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,31,12,no,male,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,31,12,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,36,4,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,41,14,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,49,13,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,33,11,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,33,12,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,45,14,yes,female,non-white,married,medium or high,yes,yes,no,construction or sales,no
preemployment testing program,25,13,no,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,31,16,no,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,21,11,no,male,white,not married,medium or high,yes,yes,no,construction or sales,yes
no testing program,37,16,no,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,41,14,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,43,14,yes,female,white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,20,12,yes,male,white,not married,medium or high,yes,yes,no,construction or sales,yes
preemployment & random testing program,33,13,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,27,16,yes,male,white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,31,12,yes,male,white,married,medium or high,yes,no,yes,construction or sales,yes
no testing program,18,12,no,male,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,27,12,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,57,8,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,20,12,yes,male,white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,33,17,yes,male,white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,34,16,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,22,10,yes,female,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,29,12,yes,female,non-white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,37,16,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,43,14,no,female,non-white,not married,medium or high,yes,yes,no,construction or sales,no
preemployment & random testing program,30,16,yes,female,non-white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,30,10,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,36,11,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,23,12,no,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,31,16,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,18,12,no,female,non-white,not married,medium or high,yes,yes,no,construction or sales,no
preemployment & random testing program,41,16,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,31,16,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,24,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,18,12,no,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,43,10,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,yes
preemployment & random testing program,19,11,no,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,25,11,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,51,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,24,16,yes,female,non-white,not married,low,yes,no,no,other occupation,no
no testing program,40,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
preemployment & random testing program,42,17,yes,male,white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,30,16,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,yes
preemployment & random testing program,40,7,no,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,33,6,no,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,52,17,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,35,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,58,3,yes,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
preemployment testing program,40,16,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,33,16,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,46,8,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,18,10,no,male,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,44,17,yes,male,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,38,10,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,19,12,yes,male,white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,21,12,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,25,16,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,29,12,no,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,22,11,yes,female,non-white,not married,low,yes,no,no,other occupation,no
no testing program,46,12,no,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,23,14,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,37,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,yes
no testing program,23,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,yes
no testing program,22,11,no,male,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,46,7,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,46,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,37,17,yes,male,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,19,12,yes,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
no testing program,27,12,yes,male,non-white,married,medium or high,yes,no,yes,construction or sales,no
preemployment & random testing program,32,13,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,34,12,yes,male,white,married,medium or high,yes,no,no,other occupation,no
no testing program,40,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,23,16,no,female,white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,29,12,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,32,13,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,32,12,yes,male,white,married,medium or high,yes,no,no,other occupation,no
no testing program,18,10,no,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,26,12,yes,male,white,not married,medium or high,yes,no,yes,construction or sales,yes
preemployment testing program,24,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,19,13,yes,female,non-white,not married,medium or high,yes,yes,no,construction or sales,yes
no testing program,28,11,yes,male,white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,27,12,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,18,11,no,female,white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,41,12,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,35,9,no,female,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,30,14,yes,male,white,married,medium or high,yes,no,no,other occupation,no
no testing program,46,12,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,43,15,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,27,13,yes,male,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,25,10,yes,male,non-white,not married,medium or high,yes,no,yes,construction or sales,no
no testing program,21,8,yes,male,white,not married,medium or high,yes,no,no,other occupation,yes
random testing program,26,15,yes,male,white,not married,medium or high,yes,yes,no,construction or sales,no
no testing program,26,14,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,21,11,yes,male,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,21,16,no,female,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,32,12,yes,male,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,31,10,yes,male,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,30,13,yes,male,white,not married,medium or high,yes,no,no,other occupation,yes
preemployment & random testing program,35,16,yes,male,white,married,medium or high,yes,no,no,other occupation,no
no testing program,29,16,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,32,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,29,14,yes,male,white,married,medium or high,yes,yes,no,construction or sales,no
preemployment & random testing program,30,16,no,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,29,17,no,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,20,13,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,26,17,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,29,10,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,24,16,yes,female,white,married,medium or high,yes,yes,no,construction or sales,yes
no testing program,22,13,no,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
random testing program,23,11,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,20,8,no,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment testing program,28,10,yes,male,white,married,medium or high,yes,no,no,other occupation,yes
no testing program,32,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,33,12,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,45,16,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,33,11,yes,female,white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,24,17,yes,male,white,married,medium or high,yes,no,no,other occupation,yes
no testing program,26,16,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,25,10,yes,male,white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,30,16,yes,female,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,26,12,yes,male,non-white,not married,medium or high,yes,yes,no,construction or sales,yes
no testing program,35,12,yes,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,20,10,yes,female,white,not married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,43,12,yes,female,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,34,6,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
preemployment & random testing program,57,9,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,30,14,yes,female,white,not married,medium or high,yes,no,no,other occupation,no
no testing program,33,0,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,22,11,yes,female,white,married,medium or high,yes,yes,no,construction or sales,yes
no testing program,27,6,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,29,11,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,24,12,yes,female,white,not married,low,no,no,no,other occupation,no
preemployment & random testing program,32,16,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,36,11,yes,male,white,married,medium or high,no,no,no,other occupation,no
no testing program,29,14,yes,female,white,not married,medium or high,no,no,no,other occupation,no
no testing program,27,12,yes,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,31,13,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,30,14,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,49,17,yes,male,white,not married,medium or high,no,yes,no,construction or sales,no
preemployment & random testing program,36,11,yes,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,37,12,yes,male,white,married,medium or high,no,no,no,other occupation,yes
preemployment & random testing program,27,14,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
random testing program,34,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,25,12,yes,female,white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,27,16,yes,male,white,married,medium or high,no,no,no,other occupation,yes
no testing program,27,13,no,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,19,10,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,28,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,34,17,yes,female,white,not married,medium or high,no,no,no,other occupation,no
no testing program,49,14,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,26,12,no,female,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,26,12,yes,female,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,20,14,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,26,16,yes,male,white,married,medium or high,no,no,no,other occupation,no
no testing program,34,14,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,21,13,no,female,non-white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,24,12,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,46,11,yes,male,white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,30,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,31,14,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,27,13,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,34,16,yes,female,non-white,not married,medium or high,no,no,no,other occupation,yes
preemployment testing program,52,9,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,30,13,yes,male,non-white,married,medium or high,no,no,no,other occupation,yes
preemployment testing program,25,11,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,27,11,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,26,12,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,29,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,24,15,yes,female,non-white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,24,16,yes,female,white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,60,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,36,12,no,female,non-white,not married,low,no,no,no,other occupation,no
no testing program,32,11,no,female,non-white,not married,low,no,no,no,other occupation,yes
preemployment testing program,25,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,46,16,yes,male,white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,24,16,yes,female,white,not married,medium or high,no,no,no,other occupation,no
no testing program,23,13,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,38,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,30,13,yes,female,non-white,not married,low,no,no,no,other occupation,no
preemployment & random testing program,25,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,40,14,yes,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,20,12,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
preemployment & random testing program,47,16,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,32,16,yes,male,white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,44,12,yes,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,25,14,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,47,16,yes,female,white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,37,14,yes,female,white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,39,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,31,12,yes,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,19,12,yes,female,non-white,not married,low,no,yes,no,construction or sales,no
preemployment & random testing program,30,14,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,22,10,yes,female,non-white,not married,medium or high,no,yes,no,construction or sales,yes
preemployment & random testing program,29,10,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,28,12,yes,female,non-white,married,low,no,no,no,other occupation,no
preemployment & random testing program,26,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,47,15,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
random testing program,19,13,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,29,17,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,52,17,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,39,14,yes,male,non-white,married,medium or high,no,yes,no,construction or sales,no
preemployment testing program,50,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,18,12,no,male,white,not married,low,no,no,no,other occupation,no
no testing program,28,12,yes,male,white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,26,9,yes,male,white,not married,low,no,no,no,other occupation,yes
no testing program,23,10,yes,female,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,27,10,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,21,11,yes,female,white,not married,low,no,no,no,other occupation,no
no testing program,18,11,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,30,12,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,28,16,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,47,9,no,female,non-white,not married,medium or high,yes,no,no,other occupation,no
preemployment testing program,22,12,no,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,31,16,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,30,17,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,32,16,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,25,14,no,female,non-white,not married,low,yes,yes,no,construction or sales,no
no testing program,20,12,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,35,8,yes,male,non-white,married,medium or high,yes,no,no,other occupation,no
no testing program,29,16,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,19,13,yes,female,non-white,not married,medium or high,yes,no,no,other occupation,no
no testing program,35,17,yes,female,white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,22,14,yes,female,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,32,12,yes,female,white,not married,medium or high,no,no,no,other occupation,no
no testing program,63,13,yes,female,non-white,married,medium or high,yes,yes,no,construction or sales,no
preemployment testing program,27,12,yes,male,non-white,not married,low,yes,no,no,other occupation,no
preemployment testing program,38,17,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,41,16,yes,male,white,married,medium or high,no,yes,no,construction or sales,yes
preemployment testing program,38,17,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,21,13,no,female,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,24,11,no,female,white,married,medium or high,yes,no,no,other occupation,no
no testing program,38,16,yes,male,white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,28,15,yes,male,white,married,medium or high,no,no,no,other occupation,no
no testing program,31,17,yes,male,non-white,married,medium or high,no,no,no,other occupation,yes
no testing program,26,14,yes,male,white,married,medium or high,no,yes,no,construction or sales,no
preemployment testing program,30,17,yes,female,white,not married,medium or high,no,no,no,other occupation,yes
preemployment testing program,29,17,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,32,10,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,35,16,yes,male,white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,23,15,no,female,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,36,12,yes,female,non-white,not married,low,yes,no,no,other occupation,no
no testing program,41,9,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,24,6,yes,male,non-white,not married,medium or high,yes,no,no,other occupation,yes
no testing program,18,11,no,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,51,14,no,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,28,17,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,19,12,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,18,12,yes,female,white,not married,medium or high,no,no,no,other occupation,no
no testing program,38,12,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,23,16,yes,male,white,not married,medium or high,no,no,yes,construction or sales,yes
no testing program,33,14,yes,male,non-white,married,medium or high,no,no,no,other occupation,yes
preemployment testing program,33,11,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,34,15,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,22,11,yes,female,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,39,17,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,34,8,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,28,16,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,31,15,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,36,13,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,40,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,32,15,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,45,15,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,33,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,yes
random testing program,41,16,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,32,10,no,female,non-white,married,medium or high,no,no,no,other occupation,yes
preemployment & random testing program,31,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,32,11,no,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,25,11,no,male,non-white,not married,medium or high,no,no,no,other occupation,yes
preemployment & random testing program,23,12,no,female,non-white,not married,medium or high,no,no,no,other occupation,yes
preemployment testing program,35,12,no,female,non-white,not married,medium or high,no,no,no,other occupation,yes
preemployment & random testing program,36,13,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,29,11,no,female,non-white,not married,low,no,no,no,other occupation,yes
no testing program,26,17,yes,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,45,17,no,male,non-white,married,medium or high,no,no,no,other occupation,yes
no testing program,28,17,yes,female,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,26,14,yes,female,white,married,medium or high,no,yes,no,construction or sales,no
no testing program,32,12,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,35,17,yes,female,white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,18,10,yes,female,white,not married,medium or high,no,yes,no,construction or sales,yes
no testing program,34,11,yes,male,white,not married,low,no,no,no,other occupation,no
no testing program,31,17,yes,female,white,not married,medium or high,no,no,no,other occupation,no
no testing program,28,15,yes,male,white,married,medium or high,no,no,no,other occupation,no
no testing program,32,12,yes,female,non-white,married,medium or high,no,no,no,other occupation,yes
preemployment & random testing program,23,12,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,19,12,no,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,33,12,yes,female,white,married,medium or high,no,no,no,other occupation,yes
preemployment testing program,32,14,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
no testing program,31,15,yes,male,non-white,not married,medium or high,no,yes,no,construction or sales,yes
no testing program,47,12,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,37,17,yes,male,white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,40,11,yes,female,non-white,not married,medium or high,no,no,no,other occupation,no
random testing program,39,12,yes,female,white,not married,medium or high,no,no,no,other occupation,no
preemployment testing program,40,14,yes,male,white,not married,medium or high,no,no,no,other occupation,yes
preemployment testing program,26,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,33,12,no,female,non-white,not married,low,no,yes,no,construction or sales,no
no testing program,38,12,yes,female,non-white,not married,low,no,no,no,other occupation,no
preemployment testing program,27,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,41,12,no,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,28,13,yes,male,white,married,medium or high,no,yes,no,construction or sales,no
preemployment & random testing program,43,13,yes,male,white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,25,14,yes,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,18,11,yes,male,non-white,not married,low,no,no,no,other occupation,yes
preemployment testing program,34,14,yes,male,white,married,medium or high,no,no,no,other occupation,no
random testing program,38,13,yes,female,white,married,medium or high,no,no,no,other occupation,no
no testing program,32,12,yes,male,white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,32,12,yes,female,white,not married,medium or high,no,no,no,other occupation,no
no testing program,33,10,yes,male,white,married,medium or high,no,no,no,other occupation,yes
no testing program,37,17,yes,male,white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,38,12,yes,male,white,married,medium or high,no,no,no,other occupation,no
no testing program,31,16,yes,male,white,not married,medium or high,no,yes,no,construction or sales,no
preemployment testing program,27,17,yes,female,white,married,medium or high,no,no,no,other occupation,no
preemployment testing program,31,15,yes,female,white,not married,medium or high,no,no,no,other occupation,no
no testing program,18,12,no,female,non-white,not married,low,no,no,no,other occupation,no
no testing program,28,12,yes,male,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,24,12,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,35,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
preemployment testing program,27,15,yes,female,non-white,not married,medium or high,no,yes,no,construction or sales,no
no testing program,24,16,yes,female,white,not married,medium or high,no,yes,no,construction or sales,no
preemployment & random testing program,38,16,no,male,non-white,not married,medium or high,no,no,no,other occupation,no
no testing program,18,12,no,female,white,not married,low,no,no,no,other occupation,no
no testing program,19,12,no,female,white,not married,low,no,no,no,other occupation,no
preemployment testing program,38,12,yes,female,white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,27,16,yes,male,non-white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,29,12,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,18,12,no,female,non-white,not married,low,no,no,no,other occupation,no
no testing program,22,12,yes,male,non-white,not married,low,no,no,no,other occupation,yes
preemployment testing program,31,8,yes,female,white,not married,medium or high,no,no,no,other occupation,no
no testing program,19,12,yes,female,white,not married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,39,12,yes,female,white,married,medium or high,no,no,no,other occupation,no
preemployment & random testing program,40,15,yes,male,white,not married,medium or high,no,no,no,other occupation,no
no testing program,26,12,yes,male,white,married,medium or high,no,no,no,other occupation,yes
preemployment testing program,20,13,no,male,white,not married,medium or high,no,no,no,other occupation,no
random testing program,33,12,yes,male,non-white,not married,medium or high,no,no,no,other occupation,yes
no testing program,41,12,no,female,non-white,married,medium or high,no,no,no,other occupation,no
no testing program,28,16,yes,male,non-white,married,medium or high,no,no,no,other occupation,yes
preemployment testing program,33,13,yes,male,white,married,medium or high,no,no,no,other occupation,no
no testing program,35,14,yes,male,non-white,married,low,no,no,no,other occupation,no
no testing program,22,13,yes,female,non-white,married,medium or high,no,no,no,other occupation,no
